"Quantity","Value","Name","Part","RefDes"
"3","470n","C-USC0603","Part 1","C1, C2, C32"
"23","100n","C-USC0603","Part 1","C3, C5, C7, C11, C13, C14, C15, C20, C21, C22, C24, C27, C30, C34, C36, C37, C40, C41, C43, C45, C46, C48, C49"
"8","100p","C-USC0603","Part 1","C4, C6, C10, C12, C23, C26, C29, C31"
"4","10u","CPOL-USB","Part 1","C8, C9, C25, C28"
"4","18p","C-USC0603","Part 1","C16, C17, C42, C44"
"4","47u","EEE-FT1V470AR ","Part 1","C18, C19, C38, C39"
"2","1u","C-USC0603","Part 1","C33, C35"
"1","1u","CPOL-USB","Part 1","C50"
"1","1N5819HW","DIODE-SOD123","Part 1","D1"
"4","1N4148","DIODE-SOD123","Part 1","D2, D3, D4, D5"
"1","MB1S","MB1S","Part 1","D7"
"1","LM4040 10V","LM4041C12DBZ","Part 1","IC1"
"3","TL072D","TL072D","Part A","IC2, IC7, IC9"
"4","MCP6002","TL072D","Part A","IC3, IC4, IC10, IC12"
"1","","74AHC1G125GV","Part 1","IC5"
"2","74AHC1G86DBV","74AHC1G86DBV","Part 1","IC6, IC8"
"1","LM4040B25","LM4041B12DBZ","Part 1","IC11"
"1","MCP3208","MCP3208","Part 1","IC13"
"1","LM1117-3.3","REG1117","Part 1","IC14"
"1","MCP4822","MCP4822SO08","Part 1","IC15"
"1","ATXMEGA32A4U-AU","AVR_XMEGA_A4_44A","Part 1","IC16"
"1","","M74HC4024M1R","Part 1","IC17"
"1","74LS86D","74LS86D","Part A","IC18"
"1","","LM321MF","Part 1","IC19"
"5","","Thonkiconn","Part 1","J1, J5, J9, J13, J18"
"13","PJ301_THONKICONN6","PJ301_THONKICONN6","Part 1","J2, J3, J4, J6, J7, J8, J10, J11, J12, J14, J15, J16, J17"
"1","M05X2PTH","M05X2PTH","Part 1","J19"
"1","","AVR_SPI_PRG_6PTH","Part 1","J20"
"1","STEREO","Thonkiconn","Part 1","J21"
"1","","WE-CBF_0603","Part 1","L1"
"4","","LED3MM","Part 1","LED1, LED2, LED3, LED4"
"1","6N137","6N137SMT","Part 1","OK1"
"4","MMBT3904","MMBT3904LT1-NPN-SOT23-BEC","Part 1","Q1, Q2, Q3, Q4"
"1","8MHz","TXC 7A crystal","Part 1","Q6"
"1","2k","R-US_R0603","Part 1","R1"
"13","10k","R-US_R0603","Part 1","R2, R9, R10, R15, R18, R45, R46, R53, R60, R77, R79, R81, R86"
"1","300","R-US_R0603","Part 1","R3"
"8","10kB","POT_USVERTICAL_PS","Part 1","R4, R5, R31, R32, R41, R42, R68, R69"
"8","1k","R-US_R0603","Part 1","R6, R7, R20, R33, R43, R49, R62, R85"
"8","24.9k","R-US_R0603","Part 1","R8, R12, R17, R23, R44, R47, R52, R58"
"4","33k","R-US_R0603","Part 1","R11, R13, R35, R48"
"17","100k","R-US_R0603","Part 1","R14, R21, R22, R24, R29, R30, R34, R36, R37, R38, R40, R50, R56, R57, R59, R66, R67"
"12","200k","R-US_R0603","Part 1","R16, R19, R25, R26, R27, R28, R51, R55, R61, R63, R64, R65"
"2","39k","R-US_R0603","Part 1","R39, R70"
"1","82k","R-US_R0603","Part 1","R54"
"4","100","R-US_R0603","Part 1","R71, R72, R73, R74"
"1","220","R-US_R0603","Part 1","R75"
"1","4.7k","R-US_R0603","Part 1","R76"
"5","20k","R-US_R0603","Part 1","R78, R80, R82, R83, R84"
"1","30k","R-US_R0603","Part 1","R87"
"3","FX_HI","PVB6","Part 1","SW1, SW2, SW3"
"6","","TAC_SWITCHPTH","Part 1","SW4, SW5, SW6, SW7, SW8, SW9"
